Data Source,World Development Indicators,,,
,,,,
Last Updated Date,3/18/20,,,
,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2018
Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,588.0277778
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,56.93776001
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,24.71305206
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,104.6122628
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,163.8425532
Arab World,ARB,Population density (people per sq. km of land area),EN.POP.DNST,37.37236537
United Arab Emirates,ARE,Population density (people per sq. km of land area),EN.POP.DNST,135.6091101
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,16.2585101
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,103.6802248
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,277.325
Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,218.8318182
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,3.249129487
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,107.2069267
Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,120.2653199
Burundi,BDI,Population density (people per sq. km of land area),EN.POP.DNST,435.178271
Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,377.2149273
Benin,BEN,Population density (people per sq. km of land area),EN.POP.DNST,101.8539198
Burkina Faso,BFA,Population density (people per sq. km of land area),EN.POP.DNST,72.19128289
Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,1239.579312
Bulgaria,BGR,Population density (people per sq. km of land area),EN.POP.DNST,64.70353721
Bahrain,BHR,Population density (people per sq. km of land area),EN.POP.DNST,2017.2737
"Bahamas, The",BHS,Population density (people per sq. km of land area),EN.POP.DNST,38.52547453
Bosnia and Herzegovina,BIH,Population density (people per sq. km of land area),EN.POP.DNST,64.92048828
Belarus,BLR,Population density (people per sq. km of land area),EN.POP.DNST,46.7287999
Belize,BLZ,Population density (people per sq. km of land area),EN.POP.DNST,16.79399386
Bermuda,BMU,Population density (people per sq. km of land area),EN.POP.DNST,1184.592572
Bolivia,BOL,Population density (people per sq. km of land area),EN.POP.DNST,10.48014585
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,25.06171624
Barbados,BRB,Population density (people per sq. km of land area),EN.POP.DNST,666.6069767
Brunei Darussalam,BRN,Population density (people per sq. km of land area),EN.POP.DNST,81.39696395
Bhutan,BTN,Population density (people per sq. km of land area),EN.POP.DNST,19.77752777
Botswana,BWA,Population density (people per sq. km of land area),EN.POP.DNST,3.977424876
Central African Republic,CAF,Population density (people per sq. km of land area),EN.POP.DNST,7.490412212
Canada,CAN,Population density (people per sq. km of land area),EN.POP.DNST,4.075308214
Central Europe and the Baltics,CEB,Population density (people per sq. km of land area),EN.POP.DNST,92.76643663
Switzerland,CHE,Population density (people per sq. km of land area),EN.POP.DNST,215.5213784
Channel Islands,CHI,Population density (people per sq. km of land area),EN.POP.DNST,861.1060938
Chile,CHL,Population density (people per sq. km of land area),EN.POP.DNST,25.18944607
China,CHN,Population density (people per sq. km of land area),EN.POP.DNST,148.3488333
Cote d'Ivoire,CIV,Population density (people per sq. km of land area),EN.POP.DNST,78.83405346
Cameroon,CMR,Population density (people per sq. km of land area),EN.POP.DNST,53.34398891
"Congo, Dem. Rep.",COD,Population density (people per sq. km of land area),EN.POP.DNST,37.08259236
"Congo, Rep.",COG,Population density (people per sq. km of land area),EN.POP.DNST,15.35684627
Colombia,COL,Population density (people per sq. km of land area),EN.POP.DNST,44.74870212
Comoros,COM,Population density (people per sq. km of land area),EN.POP.DNST,447.2444775
Cabo Verde,CPV,Population density (people per sq. km of land area),EN.POP.DNST,134.9297767
Costa Rica,CRI,Population density (people per sq. km of land area),EN.POP.DNST,97.91306306
Caribbean small states,CSS,Population density (people per sq. km of land area),EN.POP.DNST,18.17701618
Cuba,CUB,Population density (people per sq. km of land area),EN.POP.DNST,108.9995962
Curacao,CUW,Population density (people per sq. km of land area),EN.POP.DNST,
Cayman Islands,CYM,Population density (people per sq. km of land area),EN.POP.DNST,267.3916667
Cyprus,CYP,Population density (people per sq. km of land area),EN.POP.DNST,128.7083333
Czech Republic,CZE,Population density (people per sq. km of land area),EN.POP.DNST,137.6028879
Germany,DEU,Population density (people per sq. km of land area),EN.POP.DNST,237.3709698
Djibouti,DJI,Population density (people per sq. km of land area),EN.POP.DNST,41.36842105
Dominica,DMA,Population density (people per sq. km of land area),EN.POP.DNST,95.5
Denmark,DNK,Population density (people per sq. km of land area),EN.POP.DNST,138.0673017
Dominican Republic,DOM,Population density (people per sq. km of land area),EN.POP.DNST,219.9785759
Algeria,DZA,Population density (people per sq. km of land area),EN.POP.DNST,17.73007507
