Rank,Airport,Location,Country,Code (IATA/ICAO),Total passengers,% change,Lat,Long,Type
1,Hartsfield-Jackson Atlanta International Airport,Atlanta GA,USA,ATL," 101,491,106 ",5.5,33.640278,-84.42694399999999,Domestic
2,Beijing Capital International Airport,Beijing,China (People's Republic of China),PEK," 89,938,628 ",4.4,40.075,116.59,Domestic
3,Dubai International Airport,Dubai,United Arab Emirates,DXB," 78,014,841 ",10.7,25.248889000000002,55.36,International
4,O'Hare International Airport,Chicago IL,USA,ORD," 76,949,504 ",9.8,41.979721999999995,-87.904444,Domestic
5,Tokyo International (Haneda) Airport,Tokyo,Japan,HND," 75,573,106 ",3.8,35.54805600000001,139.770278,Domestic
6,Heathrow Airport,London,United Kingdom,LHR," 74,989,795 ",2.2,51.469722,-0.452222,International
7,Los Angeles International Airport,Los Angeles CA,USA,LAX," 74,937,004 ",6.1,33.9425,-118.406944,Domestic
8,Hong Kong International Airport,Hong Kong,"Hong Kong, China",HKG," 68,283,407 ",8.2,22.308889,113.914722,International
9,Aéroport de Paris-Charles de Gaulle,Paris,France,CDG," 65,766,986 ",3.1,49.009722,2.548611,International
10,Dallas/Ft Worth International Airport,Dallas/Fort Worth TX,USA,DFW," 65,512,163 ",2.6,32.896111,-97.041111,Domestic
11,Atatürk International Airport,Istanbul,Turkey,IST," 61,346,229 ",8.2,40.976667,28.815278000000003,International
12,Flughafen Frankfurt/Main,Frankfurt,Germany,FRA," 61,032,022 ",2.5,50.034444,8.571389,International
13,Pudong International Airport,Shanghai,China (People's Republic of China),PVG," 60,098,073 ",16.3,31.141666999999998,121.79,International
14,Amsterdam Airport,Amsterdam,Netherlands,AMS," 58,284,864 ",6.0,52.308056,4.764167,International
15,John F. Kennedy International Airport,New York NY,USA,JFK," 56,827,154 ",6.8,40.64,-73.778056,International
16,Singapore Changi Airport,Singapore,Singapore,SIN," 55,449,000 ",2.5,1.359167,103.991111,International
17,Guangzhou Bai Yun International Airport,Guangzhou,China (People's Republic of China),CAN," 55,201,915 ",0.8,23.184444,113.265,Domestic
18,Soekarno-Hatta International Airport,Jakarta,Indonesia,CGK," 54,089,062 ",-5.5,-6.125556,106.65777800000001,Domestic
19,Denver International Airport,Denver CO,USA,DEN," 54,014,502 ",1.0,39.862778000000006,-104.6575,Domestic
20,Suvarnabhumi International Airport,Bangkok,Thailand,BKK," 52,902,110 ",14.0,13.685833333333333,100.74888888888887,International
21,San Francisco International Airport,San Francisco CA,USA,SFO," 50,057,887 ",6.3,37.618611,-122.37361100000001,Domestic
22,Incheon International Airport,Incheon,Korea (Rep of Korea),ICN," 49,412,750 ",8.2,37.425,126.375,International
23,KL International Airport,Kuala Lumpur,Malaysia,KUL," 48,938,424 ",0.0,2.743056,101.697778,International
24,Aeropuerto de Adolfo Suárez Madrid-Barajas,Madrid,Spain,MAD," 46,779,554 ",12.0,40.473333000000004,-3.559444,International
25,Indira Gandhi International Airport,New Delhi,India,DEL," 45,981,773 ",15.7,28.568610999999997,77.11333299999998,Domestic
26,McCarran International Airport,Las Vegas NV,USA,LAS," 45,443,900 ",5.8,36.082778000000005,-115.153333,Domestic
27,Charlotte Douglas International Airport,Charlotte NC,USA,CLT," 44,876,627 ",1.4,35.21416700000001,-80.943611,Domestic
28,Miami International Airport,Miami FL,USA,MIA," 44,350,247 ",8.3,25.792778,-80.29083299999999,International
29,Sky Harbor International Airport,Phoenix AZ,USA,PHX," 44,003,840 ",4.5,33.435833,-112.00861100000002,Domestic
30,George Bush Intercontinental Airport,Houston TX,USA,IAH," 43,023,224 ",4.3,29.98,-95.339444,Domestic
