Province/State,Country/Region,Lat,Long,4/20/20
,Afghanistan,33.0,65.0,1026
,Albania,41.1533,20.1683,584
,Algeria,28.0339,1.6596,2718
,Andorra,42.5063,1.5218,717
,Angola,-11.2027,17.8739,24
,Antigua and Barbuda,17.0608,-61.7964,23
,Argentina,-38.4161,-63.6167,2941
,Armenia,40.0691,45.0382,1339
Australian Capital Territory,Australia,-35.4735,149.0124,103
New South Wales,Australia,-33.8688,151.2093,2926
Northern Territory,Australia,-12.4634,130.8456,28
Queensland,Australia,-28.0167,153.4,1015
South Australia,Australia,-34.9285,138.6007,435
Tasmania,Australia,-41.4545,145.9707,180
Victoria,Australia,-37.8136,144.9631,1319
Western Australia,Australia,-31.9505,115.8605,541
,Austria,47.5162,14.5501,14795
,Azerbaijan,40.1431,47.5769,1436
,Bahamas,25.0343,-77.3963,60
,Bahrain,26.0275,50.55,1907
,Bangladesh,23.685,90.3563,2948
,Barbados,13.1939,-59.5432,75
,Belarus,53.7098,27.9534,6264
,Belgium,50.8333,4.0,39983
,Benin,9.3077,2.3158,54
,Bhutan,27.5142,90.4336,5
,Bolivia,-16.2902,-63.5887,564
,Bosnia and Herzegovina,43.9159,17.6791,1309
,Brazil,-14.235,-51.9253,40743
,Brunei,4.5353,114.7277,138
,Bulgaria,42.7339,25.4858,929
,Burkina Faso,12.2383,-1.5616,581
,Cabo Verde,16.5388,-23.0418,67
,Cambodia,11.55,104.9167,122
,Cameroon,3.8480000000000003,11.5021,1163
Alberta,Canada,53.9333,-116.5765,2908
British Columbia,Canada,49.2827,-123.1207,1647
Grand Princess,Canada,37.6489,-122.6655,13
Manitoba,Canada,53.7609,-98.8139,254
New Brunswick,Canada,46.5653,-66.4619,118
Newfoundland and Labrador,Canada,53.1355,-57.6604,257
Nova Scotia,Canada,44.681999999999995,-63.7443,721
Ontario,Canada,51.2538,-85.3232,12063
Prince Edward Island,Canada,46.5107,-63.4168,26
Quebec,Canada,52.9399,-73.5491,19319
Saskatchewan,Canada,52.9399,-106.4509,316
,Central African Republic,6.6111,20.9394,12
,Chad,15.4542,18.7322,33
,Chile,-35.6751,-71.543,10507
