index,Country_Region,0,15,Country_Code,Region,Non-communicable diseases (NCDs) (DALYs lost),Respiratory diseases (DALYs lost),Pop Density (per sqkm),Ages 0-9,Ages 10-19,Ages 20-29,Ages 30-39,Ages 40-49,Ages 50-59,Ages 60-69,Ages 70-79,Ages 80+,Population Total,Health Expenditure (USD),"Hospital beds (per 1,000)"
0,Albania,1.0,6.0,ALB,Europe & Central Asia,627627.01437772,25151.250838601358,104.61226277372299,0.11593245268590024,0.1356085175147992,0.16965813277811426,0.1260996463827495,0.11726898355275094,0.13770210188754023,0.10578619134405257,0.06458887459286569,0.02735509926122742,2866376.0,271.54304258,2.9
1,Algeria,1.0,26.0,DZA,Middle East & North Africa,7036442.020200626,330359.10928765533,17.7300750711665,0.22081309252589057,0.14782288017392264,0.1643829089640062,0.16784176366115822,0.11986668980747543,0.08442454726411916,0.055157533802642766,0.026989945564870527,0.012700638235914483,42228429.0,260.41257932,1.9
2,Argentina,1.0,4.0,ARG,Latin America & Caribbean ,8999387.711052086,490414.578121551,16.2585100979651,0.1670688848912415,0.15970109835815,0.1572383222260062,0.1433741826490342,0.1227826053029517,0.09723014548561201,0.07734555434858999,0.04894047248937695,0.02631873424903746,44494503.0,955.2009489,5.0
3,Australia,1.0,3.0,AUS,East Asia & Pacific,4880078.398158864,315475.7335811963,3.24912948744283,0.1301347171156637,0.1216368035524442,0.13766481530163005,0.14429239803988178,0.13124369557588977,0.12382119022725736,0.10294013732991308,0.06780453394375964,0.04046170891356042,24992370.0,5002.35827732,3.8
4,Austria,1.0,58.0,AUT,Europe & Central Asia,2089179.1801082087,101569.89426693878,107.20692666757799,0.09550065281728723,0.09852731518421022,0.12705030462734482,0.1352917060725063,0.13735115217645136,0.15613201207771324,0.10917324994272094,0.08838539086354202,0.052588216238223885,8847039.0,4688.28020378,7.6
5,Azerbaijan,1.0,4.0,AZE,Europe & Central Asia,2366332.6337284115,88207.52222134311,120.265319946776,0.16767466301413622,0.13173892520778074,0.1729766389793299,0.1679610143737922,0.1260627915123727,0.12809973838127095,0.06861539813953087,0.023264664996568714,0.013606165395217681,9942331.0,268.15586521,4.7
6,Bahrain,1.0,4.0,BHR,Middle East & North Africa,225090.13091075487,10375.674230468228,2017.27369979138,0.13458749617698032,0.10926636252421246,0.20523180242634315,0.26881307982465086,0.14846059741054135,0.08493156794780304,0.035022046080130494,0.01027627688857172,0.003410770720766643,1569440.0,1099.36229078,2.0
7,Bangladesh,1.0,6.0,BGD,South Asia,28707317.5384414,2448171.321008496,1239.5793116693599,0.18162739987917403,0.19259538099720344,0.18222852395237266,0.15995578473542113,0.12186718885763434,0.08616051187175888,0.04078663556691153,0.024823155055119103,0.009955419084404898,161356040.0,34.21796766,0.8
8,Belgium,3.0,220.0,BEL,Europe & Central Asia,2716255.2466188823,165332.29286818605,377.21492734478204,0.11371911416360475,0.11187076171171866,0.12216732457461278,0.13001774460377738,0.133384999418669,0.139449927788883,0.11563216595529495,0.0766403515161533,0.05711761026728619,11422064.0,4149.38532224,6.2
9,Brazil,1.0,240.0,BRA,Latin America & Caribbean ,43033064.68607839,2146048.225019168,25.061716243087602,0.13976893619369865,0.15345006097241148,0.16332162560487914,0.16378203668931443,0.135562449198111,0.11255115647552541,0.07499119429547793,0.03844161871012265,0.018130921860459313,209469327.0,1015.93444765,2.2
10,Bulgaria,1.0,3.0,BGR,Europe & Central Asia,2559295.9337957357,107493.3970889656,64.7035372144436,0.09571787086274113,0.09277134985598393,0.10856115472531026,0.13959764335265318,0.14981045571491539,0.1353533262644543,0.1350365649347913,0.09557692986662142,0.047574704422529146,7024216.0,612.47858555,6.8
11,Burkina Faso,1.0,16.0,BFA,Sub-Saharan Africa ,3660766.224245543,156329.8741495409,72.1912828947368,0.3193901293945068,0.23946469170445192,0.16673575834666815,0.1157149110545034,0.07418709858181141,0.04571558847024236,0.025137288070891103,0.011199990846280598,0.002454543530644253,19751534.0,40.94095568,0.4
12,Canada,1.0,26.0,CAN,North America,8022669.940441823,407926.3458180164,4.07530821431988,0.10638164616796714,0.10717770422210832,0.1375536831885389,0.13864859019524484,0.12843316394961474,0.1438362302343124,0.12109599716451035,0.0737340373845873,0.04313894749311602,37058855.0,4458.21499934,2.7
13,China,17.0,633.0,CHN,East Asia & Pacific,307002366.2318381,23134239.70822763,148.348833270666,0.12053095422620971,0.11687570303154546,0.14173231197595204,0.1512142668347675,0.16157717062059612,0.14419383287198967,0.10157776589749788,0.04452369300257502,0.017774301538866614,1392730001.0,398.33155573,4.2
14,Cuba,1.0,6.0,CUB,Latin America & Caribbean ,2656109.1306241592,135656.8994693213,108.99959623149401,0.1079060897610597,0.11362263283609154,0.13130674097863973,0.12649105065325494,0.15332850714746485,0.1645648239138921,0.09929057184481484,0.0677257992620663,0.035763783602716,11338146.0,970.64616387,5.2
15,Denmark,1.0,72.0,DNK,Europe & Central Asia,1420726.81302306,95230.32130094516,138.067301738509,0.10600424635188559,0.11862083430861894,0.1339967402893032,0.11458543734854325,0.13327918306109568,0.13810182309557983,0.11599933556960504,0.09418628579096971,0.04522611418439875,5797447.0,5565.59342469,2.5
16,Dominican Republic,1.0,57.0,DOM,Latin America & Caribbean ,1906109.0592437969,73025.96457150407,219.97857586421,0.18815543109047134,0.18211393329134032,0.1738446543509342,0.14282763626727954,0.11661688544245945,0.09159168116880832,0.05917805367865713,0.029798160676138868,0.01587356403391083,10627166.0,414.17657995,1.6
17,Ecuador,2.0,58.0,ECU,Latin America & Caribbean ,2721347.9565378963,105163.69777946793,68.7886817522951,0.1894742436634585,0.18232003904858238,0.17273319999889958,0.14550660051102884,0.11727820751132659,0.08781851282802006,0.05874560467852496,0.03074847584272843,0.015375115917430675,17084359.0,504.78248204,1.5
18,France,1.0,2.0,FRA,Europe & Central Asia,14228799.9697133,535571.5163482106,122.33839573919902,0.11834186100180298,0.12051369243543879,0.11486815482165762,0.1227119766669603,0.13084282331189537,0.13176586473337917,0.11966221687911532,0.07977450273628965,0.0615189074134608,66987243.0,4263.36156106,6.5
19,Germany,2.0,157.0,DEU,Europe & Central Asia,22727099.529919107,1247634.2016824451,237.3709697733,0.09058391477399097,0.09592195989375063,0.11381137432066911,0.12772041658730054,0.12814840270208622,0.16271302052611375,0.12096064288308966,0.0936638664679463,0.06647640184505282,82927924.0,4714.2608733,8.3
20,Greece,1.0,26.0,GRC,Europe & Central Asia,2802145.078867064,154012.18389687606,83.22473235065941,0.08916334216438965,0.10184139688847654,0.1029315682779608,0.1359708924705092,0.1517137317130624,0.14007262154105957,0.11705411174522411,0.08836633785655805,0.07288599734275968,10727671.0,1510.66671302,4.3
22,Guyana,1.0,1.0,GUY,Latin America & Caribbean ,165802.15535717257,5942.638802057728,3.9573482346964703,0.18926659195616985,0.1939430582780386,0.17779686190239627,0.12260223592342559,0.11763308930471741,0.09871028116563779,0.06055401299346476,0.026778963475296114,0.01271490500085365,779007.0,192.27367614,1.6
23,Hungary,1.0,15.0,HUN,Europe & Central Asia,3095702.898335294,173757.31130958456,107.906605545123,0.09409380881937904,0.10032539365446033,0.12347515550299357,0.13622208621073884,0.16040350164396117,0.12255538893637007,0.13647677504966585,0.08295393602253218,0.043493954159898936,9768783.0,942.59196302,7.0
24,Iceland,5.0,2.0,ISL,Europe & Central Asia,64884.1078437987,4070.9203242998383,3.52692269326683,0.1314834560331247,0.12994487701266783,0.1439646126825295,0.13702969400944076,0.12574772394950973,0.12604469232661997,0.10598659965551668,0.06246800519270419,0.03733033913788666,353573.0,5063.60583151,3.2
26,Indonesia,1.0,78.0,IDN,East Asia & Pacific,52215597.56038366,3543650.1365836286,147.75219008926,0.1793251608609726,0.17323329770351298,0.15878517540640366,0.1549750098100812,0.13723004941519243,0.10268996326700316,0.058935390920340586,0.026279633894853445,0.008546318721639943,267663432.0,111.55321931,1.2
27,Iraq,2.0,13.0,IRQ,Middle East & North Africa,6033373.975303269,248931.58680291852,88.53057003546171,0.26985088361736775,0.21885046221530513,0.17838389550977315,0.13284351371263542,0.09600926314378427,0.05319233137751016,0.031923001548332545,0.014128287318566326,0.0048183615567252034,38433604.0,152.64254835,1.4
