Country_Code,Pop Density (per sqkm),Ages 0-9,Ages 10-19,Ages 20-29,Ages 30-39,Ages 40-49,Ages 50-59,Ages 60-69,Ages 70-79,Ages 80+,Population Total
ABW,588.0277778,0.111794494,0.135763279,0.134752376,0.10796818,0.140307617,0.165797479,0.120656425,0.05974718,0.02321297,105846
AFG,56.93776001,0.295644444,0.254021722,0.175506319,0.114011373,0.073627957,0.046053646,0.026611903,0.011763032,0.002759602,37172388
AGO,24.71305206,0.337315631,0.236615574,0.161649242,0.111512701,0.072068906,0.044857857,0.023042598,0.010206699,0.00273079,30809764
ALB,104.6122628,0.115932453,0.135608518,0.169658133,0.126099646,0.117268984,0.137702102,0.105786191,0.064588875,0.027355099,2866376
ARE,135.6091101,0.103748826,0.084913636,0.221612545,0.312419985,0.174927697,0.077529431,0.018720871,0.004947377,0.001179633,9630962
ARG,16.2585101,0.167068885,0.159701098,0.157238322,0.143374183,0.122782605,0.097230145,0.077345554,0.048940472,0.026318734,44494503
ARM,103.6802248,0.143008335,0.120451376,0.153452909,0.163466216,0.114294397,0.13191737,0.099987397,0.041789813,0.031632186,2951772
ATG,218.8318182,0.149726844,0.146995285,0.153455475,0.146060531,0.14471033,0.127323903,0.076099375,0.038584574,0.017043684,96282
AUS,3.249129487,0.130134717,0.121636804,0.137664815,0.144292398,0.131243696,0.12382119,0.102940137,0.067804534,0.040461709,24992370
AUT,107.2069267,0.095500653,0.098527315,0.127050305,0.135291706,0.137351152,0.156132012,0.10917325,0.088385391,0.052588216,8847039
AZE,120.2653199,0.167674663,0.131738925,0.172976639,0.167961014,0.126062792,0.128099738,0.068615398,0.023264665,0.013606165,9942331
BDI,435.178271,0.33058503,0.226063295,0.177421544,0.124218337,0.059272979,0.043209989,0.027189682,0.009115753,0.002923391,11175379
BEL,377.2149273,0.113719114,0.111870762,0.122167325,0.130017745,0.133384999,0.139449928,0.115632166,0.076640352,0.05711761,11422064
BEN,101.8539198,0.30143423,0.22968258,0.168988614,0.117033314,0.080088752,0.052642802,0.030537797,0.015224232,0.00436768,11485046
BFA,72.19128289,0.319390129,0.239464692,0.166735758,0.115714911,0.074187099,0.045715588,0.025137288,0.011199991,0.002454544,19751534
BGD,1239.579312,0.1816274,0.192595381,0.182228524,0.159955785,0.121867189,0.086160512,0.040786636,0.024823155,0.009955419,161356040
BGR,64.70353721,0.095717871,0.09277135,0.108561155,0.139597643,0.149810456,0.135353326,0.135036565,0.09557693,0.047574704,7024216
BHR,2017.2737,0.134587496,0.109266363,0.205231802,0.26881308,0.148460597,0.084931568,0.035022046,0.010276277,0.003410771,1569440
BHS,38.52547453,0.141807668,0.167814125,0.167020628,0.141496493,0.146509005,0.122424054,0.067737628,0.033090876,0.012099524,385635
BIH,64.92048828,0.095657579,0.108419584,0.124741232,0.142931453,0.135858197,0.155167875,0.132875582,0.070333632,0.034014866,3323929
BLR,46.7287999,0.118952671,0.094783386,0.128888271,0.1570789,0.134504384,0.148099613,0.120208287,0.058181818,0.03930267,9485386
BLZ,16.79399386,0.201980834,0.204586095,0.189815987,0.14570406,0.109285224,0.076857815,0.041608475,0.019766571,0.01039494,383071
BOL,10.48014585,0.208613388,0.20083413,0.174701096,0.138500274,0.103552762,0.07368816,0.051673634,0.032199022,0.016237534,11353140
BRA,25.06171624,0.139768936,0.153450061,0.163321626,0.163782037,0.135562449,0.112551156,0.074991194,0.038441619,0.018130922,209469327
BRB,666.6069767,0.109562517,0.130320262,0.130560982,0.130738906,0.138557075,0.140835194,0.110703321,0.064924644,0.043797097,286640
BRN,81.39696395,0.15596326,0.155221932,0.164707665,0.178377937,0.152776483,0.108574226,0.057681369,0.019141645,0.007555483,428960
BTN,19.77752777,0.167726234,0.185132212,0.205923679,0.171867295,0.110178209,0.0730664,0.045857878,0.028153649,0.012094444,754396
BWA,3.977424876,0.235703328,0.200788243,0.17457631,0.15672194,0.10375507,0.061410498,0.042760697,0.019287742,0.004996171,2254126
CAF,7.490412212,0.30432552,0.259433929,0.167807345,0.104098792,0.07142675,0.048117007,0.028240122,0.013011385,0.00353915,4666375
CAN,4.075308214,0.106381646,0.107177704,0.137553683,0.13864859,0.128433164,0.14383623,0.121095997,0.073734037,0.043138947,37058855
CHE,215.5213784,0.10149246,0.098063604,0.123626086,0.140743593,0.140265347,0.151312082,0.109830466,0.083072664,0.051593698,8516544
CHI,861.1060938,0.101638748,0.105281062,0.125756616,0.136765672,0.15050793,0.147352431,0.11206128,0.073098489,0.047537772,170496
CHL,25.18944607,0.13165386,0.134250238,0.161308144,0.150001233,0.135096726,0.122466371,0.089482842,0.04862838,0.027112206,18729166
CHN,148.3488333,0.120530954,0.116875703,0.141732312,0.151214267,0.161577171,0.144193833,0.101577766,0.044523693,0.017774302,1392730001
CIV,78.83405346,0.296172287,0.234303125,0.1746744,0.118904229,0.078656517,0.05071437,0.030743311,0.01297563,0.002856131,25069226
CMR,53.34398891,0.301423511,0.231326735,0.17274254,0.126028791,0.078215712,0.047300315,0.02734722,0.012531568,0.003083608,25216238
COD,37.08259236,0.3341746,0.23170809,0.157455566,0.108470298,0.073441717,0.048176293,0.02871232,0.014052133,0.003808984,84068092
COG,15.35684627,0.295166639,0.224271661,0.157426936,0.12680377,0.096063907,0.056660075,0.028530634,0.01219805,0.002878329,5244363
COL,44.74870212,0.150136665,0.167417647,0.174546617,0.151398491,0.12536465,0.106985109,0.070386315,0.036116244,0.017648262,49648685
COM,447.2444775,0.278448725,0.220268117,0.175165381,0.132657793,0.08630554,0.057645959,0.032357669,0.013267702,0.003883113,832322
CPV,134.9297767,0.1943858,0.183366313,0.188760197,0.168733127,0.110362216,0.082727065,0.041637549,0.017316336,0.012711397,543764
CRI,97.91306306,0.142146635,0.146306499,0.168384758,0.159540373,0.125596992,0.118395389,0.077185999,0.041813658,0.020629698,4999443
CUB,108.9995962,0.10790609,0.113622633,0.131306741,0.126491051,0.153328507,0.164564824,0.099290572,0.067725799,0.035763784,11338146
CUW,360.7545045,0.122597718,0.132019168,0.118174766,0.112012662,0.130092338,0.152507382,0.121796957,0.073532356,0.037266653,159848
CYP,128.7083333,0.11151874,0.120275431,0.166008836,0.158011439,0.134810496,0.120398197,0.096054528,0.061714744,0.031207589,1189262
CZE,137.6028879,0.104962318,0.093919939,0.11174286,0.145331804,0.162462912,0.124205193,0.128198437,0.088055666,0.041120871,10625699
DEU,237.3709698,0.090583915,0.09592196,0.113811374,0.127720417,0.128148403,0.162713021,0.120960643,0.093663866,0.066476402,82927924
DJI,41.36842105,0.203162298,0.187570848,0.183680024,0.162805564,0.11696351,0.076145843,0.04218274,0.02144072,0.006048452,958923
DNK,138.0673017,0.106004246,0.118620834,0.13399674,0.114585437,0.133279183,0.138101823,0.115999336,0.094186286,0.045226114,5797447
DOM,219.9785759,0.188155431,0.182113933,0.173844654,0.142827636,0.116616885,0.091591681,0.059178054,0.029798161,0.015873564,10627166
DZA,17.73007507,0.220813093,0.14782288,0.164382909,0.167841764,0.11986669,0.084424547,0.055157534,0.026989946,0.012700638,42228429
ECU,68.78868175,0.189474244,0.182320039,0.1727332,0.145506601,0.117278208,0.087818513,0.058745605,0.030748476,0.015375116,17084359
EGY,98.87346929,0.245441162,0.17953323,0.166966,0.148017192,0.103739935,0.076273525,0.048876549,0.023262977,0.007889429,98423601
ERI,31.82150495,0.301020638,0.204391517,0.203624242,0.115093518,0.062388592,0.050620277,0.039235288,0.018783006,0.004842922,3213969
ESP,93.52905826,0.095021211,0.098807144,0.1004608,0.137945872,0.168825651,0.146544882,0.108798616,0.081656615,0.06193921,46723747
EST,30.38610536,0.10937843,0.098384261,0.120046302,0.143061984,0.137069019,0.129982845,0.122217579,0.082994545,0.056865034,1320882
ETH,109.224559,0.284024636,0.239214529,0.181705237,0.116898977,0.077111121,0.04837295,0.031315311,0.016344942,0.005012298,109224557
FIN,18.15685565,0.106589608,0.108381364,0.123663387,0.127680384,0.11840356,0.133031367,0.132646086,0.095332737,0.054271507,5518052
FJI,48.35703339,0.203397888,0.174608654,0.160929948,0.151757236,0.116244666,0.102985886,0.059498127,0.024797111,0.005780484,883490
FRA,122.3383957,0.118341861,0.120513692,0.114868155,0.122711977,0.130842823,0.131765865,0.119662217,0.079774503,0.061518907,66987243
FSM,160.9142857,0.212642045,0.208824574,0.19329723,0.126864347,0.099849077,0.085546875,0.054501065,0.014604048,0.003870739,112640
GAB,8.224764233,0.269416192,0.188349318,0.175802102,0.155529131,0.100795319,0.056639181,0.031496148,0.016664661,0.005307947,2119275
GBR,274.8273922,0.120320774,0.111705243,0.129415107,0.135430478,0.129248403,0.134878913,0.106911322,0.081694576,0.050395184,66488992
GEO,65.27520207,0.138872956,0.114136157,0.133371482,0.14066899,0.128335299,0.135296167,0.110012597,0.061945859,0.037360493,3731000
GHA,130.8214292,0.263610996,0.214448982,0.174772705,0.133255471,0.097068516,0.066491612,0.032899199,0.014192679,0.00325984,29767108
GIN,50.52221227,0.307765567,0.246661355,0.176308304,0.107880853,0.067116465,0.047229586,0.030690616,0.013129358,0.003217898,12414316
GMB,225.3065217,0.318932503,0.230826718,0.178066313,0.114331828,0.071617911,0.046669006,0.024451121,0.012507785,0.002596816,2280100
GNB,66.65394737,0.301064822,0.227344123,0.175546763,0.126978868,0.076732483,0.046521269,0.030873327,0.01223174,0.002706605,1874304
GNQ,46.66573975,0.269511348,0.191812793,0.201292773,0.170411217,0.083011897,0.044511367,0.025703435,0.010920809,0.00282436,1308969
GRC,83.22473235,0.089163342,0.101841397,0.102931568,0.135970892,0.151713732,0.140072622,0.117054112,0.088366338,0.072885997,10727671
GRD,327.8058824,0.162899622,0.143366024,0.170185466,0.156179059,0.112697288,0.111683371,0.078385629,0.042216619,0.022386921,111449
GTM,160.9537794,0.231752013,0.223495138,0.189062065,0.138610375,0.090237559,0.056910597,0.038870449,0.020495127,0.010566677,17247807
GUM,306.9777778,0.162731495,0.166495747,0.159835917,0.126168788,0.122850938,0.118833323,0.081353683,0.041810943,0.019919165,165770
GUY,3.957348235,0.189266592,0.193943058,0.177796862,0.122602236,0.117633089,0.098710281,0.060554013,0.026778963,0.012714905,779007
HKG,7096.190476,0.082735617,0.076166297,0.124081482,0.152858026,0.152591216,0.16848224,0.131618324,0.062343318,0.04912348,7450999
HND,85.68703191,0.209268338,0.217029675,0.190622124,0.146144421,0.10152372,0.065483546,0.040112029,0.019520475,0.010295673,9587523
HRV,73.077198,0.096027779,0.100057466,0.117184673,0.134807551,0.133367487,0.143350125,0.13357583,0.08527877,0.05635032,4089400
HTI,403.5985486,0.225232022,0.208783943,0.181271584,0.149851801,0.092196182,0.068116114,0.043899754,0.022353224,0.008295377,11123183
HUN,107.9066055,0.094093809,0.100325394,0.123475156,0.136222086,0.160403502,0.122555389,0.136476775,0.082953936,0.043493954,9768783
IDN,147.7521901,0.179325161,0.173233298,0.158785175,0.15497501,0.137230049,0.102689963,0.058935391,0.026279634,0.008546319,267663432
IND,454.9380726,0.176418106,0.186753583,0.175290252,0.154397606,0.120042337,0.090769951,0.060146742,0.026784482,0.00939694,1352617332
IRL,70.45298302,0.143749311,0.131965456,0.114252484,0.150207118,0.151272122,0.119418029,0.097002063,0.061900832,0.030232584,4853505
IRN,50.22242012,0.172477667,0.138745576,0.165153571,0.199785426,0.132049069,0.094903371,0.059225639,0.026409071,0.011250611,81800266
IRQ,88.53057004,0.269850884,0.218850462,0.178383896,0.132843514,0.096009263,0.053192331,0.031923002,0.014128287,0.004818362,38433604
ISL,3.526922693,0.131483456,0.129944877,0.143964613,0.137029694,0.125747724,0.126044692,0.1059866,0.062468005,0.037330339,353573
ISR,410.5268022,0.195082804,0.161354902,0.138560495,0.13276444,0.118655616,0.091272746,0.083618365,0.048190966,0.030499667,8883802
ITA,205.4507479,0.085956405,0.094568898,0.101787907,0.119096524,0.155159931,0.153569248,0.121126996,0.096533906,0.072200186,60431285
JAM,270.9930748,0.158787851,0.164963629,0.176380555,0.145575945,0.122068805,0.105427427,0.067819751,0.03851198,0.020464057,2934853
JPN,347.0734584,0.082910319,0.089741972,0.097432994,0.118294456,0.148805326,0.125549735,0.132496351,0.120646436,0.084122411,126529100
KAZ,6.769825907,0.208544985,0.13344214,0.15554922,0.15446039,0.121096449,0.111335279,0.070625073,0.029840071,0.015106395,18276498
KEN,90.29941666,0.271441758,0.237785528,0.177078108,0.137520239,0.087198064,0.049747641,0.026767706,0.00975693,0.002704025,51393010
KGZ,32.92909281,0.23661741,0.165583959,0.178311723,0.148335151,0.104954575,0.090210914,0.050459807,0.015917384,0.009609077,6315799
KHM,92.05641287,0.215722168,0.187138361,0.187709568,0.169567308,0.087422703,0.080562493,0.046444155,0.01970031,0.005732934,16249795
KIR,143.0209877,0.250539528,0.19542135,0.177767994,0.137514891,0.094076414,0.081783809,0.040235838,0.017981388,0.004678787,115842
KOR,529.6521036,0.084700345,0.098810995,0.13324305,0.143267925,0.164942651,0.164179877,0.113395642,0.065357999,0.032101516,51635256
KWT,232.1722222,0.149446718,0.118210027,0.116333447,0.228949265,0.218438581,0.113778891,0.042436228,0.010130244,0.002276598,4137314
LAO,30.59578423,0.220999583,0.204912638,0.191344136,0.144905432,0.102995793,0.069930731,0.041259777,0.017967566,0.005684343,7061502
