Country_Region,Country_Code,Cardiovascular diseases (DALYs lost),Cancers (DALYs lost),Respiratory diseases (DALYs lost),Diabetes & endocrine diseases (DALYs lost),Other NCDs (DALYs lost),Liver disease (DALYs lost),Mental & substance use disorders (DALYs lost),Neurological disorders (DALYs lost),Musculoskeletal disorders (DALYs lost),Digestive diseases (DALYs lost)
Afghanistan,AFG,1637816.7655834113,619231.9895998631,359121.7163807173,,1582891.6074089785,91736.19514419023,528383.239581478,406610.1492578392,364610.1271268375,352478.85887226026
Albania,ALB,209562.9718332972,101932.39483966754,25151.25083860136,,36977.250846945135,8657.318068548373,38310.04307307804,52136.2842519247,64614.21204464865,23049.53228993879
Algeria,DZA,1607330.18568931,613768.061365578,330359.10928765533,,795483.0975367087,87737.38150590152,705884.9993633545,591970.233212679,788737.2317931644,261085.1175378009
American Samoa,ASM,2775.4340365729327,1682.9435680605002,854.1835393742409,,811.9033468838259,205.0357666941583,713.0590954190177,596.4484943584796,919.9421030765843,445.36401179765625
Andean Latin America,,1304771.3163546382,1396702.6094038878,448306.988112142,,876769.2059781405,298096.5645759059,922217.2349336782,814893.0683165238,903171.9115973101,634856.18726261
Andorra,AND,2673.1911238497423,3480.1433433467046,926.9553302396004,,736.9902364537732,303.4942635106776,1625.438911210344,1713.6700695632337,2657.17346384385,738.2770359814498
Angola,AGO,604409.9946230116,406930.30165822094,227763.4023620137,,824749.6918905716,195238.2426718236,376228.00228062994,357338.58551368205,252506.32208932267,364592.5275588725
Antigua and Barbuda,ATG,3663.534826122191,2781.2484171525957,594.4141025853106,,1234.115365074878,311.5166484590925,1473.9883980362147,1442.7682220662437,1493.270153830151,758.0958907312811
Argentina,ARG,1874055.6477110463,1658000.0196156488,490414.57812155096,,583883.9772493503,196570.93444878023,829965.4135425807,577413.1956882415,1089538.7455344098,428946.9817877671
Armenia,ARM,235342.44947921496,135033.15389899135,33705.652034382874,,49030.49307784566,24506.16871564832,41969.87795020807,50564.463514692805,56251.10355999076,44554.16015260626
Australasia,,885444.3626454844,1206816.0050570855,374145.34729908686,,297308.30659000645,62492.70156832963,653668.7643847576,531733.7225109942,787545.0923333112,179275.20737843894
Australia,AUS,724101.5982334443,1005944.7075625851,315475.7335811963,,247983.89416018524,55560.74684764291,555027.4934621197,449072.623879415,652580.3498624206,151085.65390140767
Austria,AUT,413793.2139021895,415843.70420678734,101569.89426693878,,118853.888330578,48925.36752299956,165567.06144107284,206628.0561349846,252647.76898265106,106025.389262655
Azerbaijan,AZE,844711.3949671146,323908.4133314416,88207.52222134311,,190540.0622696334,89166.01593617213,133032.27029054845,149169.52022759922,155083.58800867427,138380.4384602962
Bahamas,BHS,18649.27386172276,14264.210142059712,2834.6579326939973,,5754.553879737757,1679.7107080315561,6177.633597568272,5588.277126436403,6390.228842952495,3929.4603732267024
Bahrain,BHR,28632.382904692724,16695.717392078248,10375.674230468228,,18387.17242845316,3014.5089761750846,29353.885248120387,19392.33189423594,33205.246907947556,9284.905117484639
Bangladesh,BGD,7474065.123170907,2815394.9903933587,2448171.321008496,,2168153.989874362,857196.5205313035,2631505.4234976373,1918694.6258988963,2940311.7180683827,1708688.8764060952
Barbados,BRB,14905.394149088888,14318.839912777476,2294.408669239989,,4417.42192947045,1042.076601223245,5119.535201835147,5543.347053686489,6106.2077205374135,2906.2953648678695
Belarus,BLR,1248286.5288390284,446406.8553970152,87948.12391443654,,121788.22559460707,83810.44334655463,161707.70789695944,198614.17855297364,220020.63221875497,168401.99488575757
Belgium,BEL,456348.0827350133,576739.0559331003,165332.29286818605,,140543.9718376059,49937.86595601972,225460.04636800635,294793.16252897657,356810.9245844076,119113.61716373972
Belize,BLZ,10225.013281290605,7867.3825313780935,3428.6217079940584,,6120.200082674258,1839.2479315175253,6150.8492630775645,5149.668787323033,5149.965928585915,3899.3793633349214
Benin,BEN,242681.90782273773,167613.0856240799,93480.33776794547,,353208.5659965535,46870.91598191591,143530.91304894633,146262.83771738526,116987.92685045347,119853.26641780893
Bermuda,BMU,3053.229128549917,3070.8090101783782,643.2894231727183,,709.9904908577626,179.2012004648809,1185.3308588344958,1221.8823972430505,1364.672168137834,540.9325731305403
Bhutan,BTN,27381.922116208814,13937.806202086109,12408.811546977991,,13125.13612861463,5267.777090118815,14597.121673295258,12415.358744835024,16010.577031888823,9263.608826096382
Bolivia,BOL,329041.362642386,310428.9456809609,102914.05995144529,,208586.2435969668,59812.01721096678,175975.5204111295,149422.73009293946,165005.00875644461,135799.01353138458
Bosnia and Herzegovina,BIH,313150.3015471915,202039.00749274692,45052.56452786265,,39773.66646592309,16607.678505636864,49059.174846799484,67738.45734779284,76608.59926113654,39329.631371007024
Botswana,BWA,55201.790238933914,39976.69301373388,25788.506271481758,,23591.591672114395,6179.374616361853,35412.94955530801,26270.04142678076,26600.468340876007,18038.526230031952
Brazil,BRA,8477770.142197194,6144004.583592633,2146048.225019168,,3412368.7228263183,1111694.759174146,4088305.6169491117,3681554.072210775,4596403.279027832,2488926.535183372
Brunei,BRN,13330.963049982329,14670.846894330632,3178.4430668550153,,5838.4884624590495,974.8589789390767,6640.481302160947,4774.411805393515,8566.727380715969,2237.397785277587
Bulgaria,BGR,1100498.5961485428,432404.6191620932,107493.3970889656,,88137.44787045306,60349.78593788162,107196.09183931805,161720.54476885402,175456.03365746018,116194.51923729436
Burkina Faso,BFA,522362.2358923278,360374.09865188994,156329.8741495409,,1082372.9750068504,76968.10953098518,260540.8216772125,270111.4805057266,203493.11247139753,251561.6103496259
Burundi,BDI,254150.19865894466,166612.5799137785,90035.58017691872,,413040.3792549894,59326.020113208826,143478.9224222448,111697.2514986772,81649.04512232747,144589.4103591326
Cambodia,KHM,598934.5983085475,361246.1376227192,180846.0574488544,,295541.8011003469,280712.6742696566,213471.77735794513,192709.6724106298,259218.5618697973,370098.3870446905
Cameroon,CMR,624162.3252070758,453882.67721500853,236615.00955885852,,624317.9565820926,147091.30198477788,355745.84690118104,364629.5821126274,292148.45447460184,321286.6821146464
Canada,CAN,1285870.8820203277,1705739.6107290164,407926.3458180164,,386822.3387784843,119651.381758455,697720.9867110822,745571.8433447833,1103284.6523898034,283354.4653973232
Cape Verde,CPV,16133.323604572304,12893.617396594385,3425.523862919728,,7254.065966004357,2908.1140977595924,8600.682495289233,8757.259408415106,7709.321949197024,5206.423554957469
Caribbean,,2373873.7878430043,1541044.112681889,477785.24417702423,,838612.7922496591,206692.22081700887,774013.9483879709,723287.5173894458,701729.3971968888,504034.29214999685
Central African Republic,CAF,212275.21584350878,92967.03024507775,61440.16392940121,,228856.79617289535,26504.046290509483,67833.51703945277,64347.797249786934,48230.787708612654,72881.31518542599
Central Asia,,6898911.953266912,2289842.676640323,727935.3449520739,,1461216.9814932062,1048825.4839334749,1195130.0627594092,1292022.5822645929,1255526.0126893509,1527469.700026009
Central Europe,,10552775.952635948,6992215.54311535,1505076.4150510188,,1313645.2359811992,910197.3278854705,1689612.396242726,2403936.0010200185,2912791.893712312,1859263.7963853944
"Central Europe, Eastern Europe, and Central Asia",,46033240.21659034,19891343.75529653,4323754.116946583,,5597619.357624191,4688925.391905838,6320835.487863745,8089709.675277508,8742490.757668998,8435979.153923964
Central Latin America,,6843413.471670733,5445117.738279345,2020605.21275047,,3718531.0496062106,1774330.9428585996,3548541.779622169,3628556.564569943,3399420.36307601,3193953.16304269
Central Sub-Saharan Africa,,3238833.4098311574,1760465.486329605,1140102.545127796,,4533335.06032698,752821.597634617,1658626.7259611478,1509055.6988221474,1168143.3709787107,1645484.7126299755
Chad,TCD,366212.61103723716,210569.004331074,124640.43093418884,,507116.0236444324,77279.08034252793,180267.70756384038,180326.0450828585,150861.0164839223,194049.66075317608
Chile,CHL,546573.9858494712,633510.2491825061,160641.7381611637,,225937.81809852977,133586.78559968132,358639.81867888663,272873.9252424193,553731.9937299647,223906.05278620863
China,CHN,85040846.12427579,63245940.5139963,23134239.70822763,,14480430.784860246,4599050.77611853,22229804.823563524,16990894.724522326,25500185.27844922,11517183.55277047
Colombia,COL,1299534.7181219808,1147751.1658276548,423543.1279451533,,642979.8495568292,106544.20719399699,646577.2956499326,747052.0555657976,806090.1025203719,355328.8098738317
Comoros,COM,23399.60560029652,17280.421801802135,6217.268675179636,,15066.770125940711,2736.945355945685,10016.396240835684,8768.941470426185,8192.634470755873,8699.821938798243
Congo,COG,167782.81917686274,104454.49964042127,50646.472517989394,,107153.43155155457,35702.749820913705,71942.55280866934,67739.23192059768,54855.05032143717,65033.54474169751
Costa Rica,CRI,132397.80235245996,133609.77990662731,39985.716629281764,,55176.34864323102,23175.68730955269,69865.71837595972,69804.33804481236,70525.21416953827,46375.05980817152
Cote d'Ivoire,CIV,729540.4534438403,319111.5773507026,198516.9311500017,,804090.1318726925,133722.64975994723,307541.87611310434,324799.7594141449,262448.9904962623,300730.950957823
Croatia,HRV,352070.4581929535,271177.6538530073,56710.04834997901,,49809.420084003395,29237.105663782186,67381.6102381614,95226.91999519384,115575.28735055766,58448.40141205133
Cuba,CUB,647555.7188883253,563615.7521705916,135656.8994693213,,119625.16435414937,52350.39864373051,213412.263192168,207544.77433898687,201009.37802744712,125672.96190283033
