Country_Code,Non-communicable diseases (NCDs) (DALYs lost),Respiratory diseases (DALYs lost)
AFG,6948558.253548018,359121.7163807173
ALB,627627.01437772,25151.25083860136
DZA,7036442.020200626,330359.10928765533
ASM,12234.517101604073,854.1835393742409
AND,16829.225344435497,926.9553302396004
AGO,4181835.4363873205,227763.4023620137
ATG,17785.314121914984,594.4141025853106
ARG,8999387.711052086,490414.57812155096
ARM,769013.0595491158,33705.652034382874
AUS,4880078.398158864,315475.7335811963
AUT,2089179.1801082087,101569.89426693878
AZE,2366332.6337284115,88207.52222134311
BHS,80131.33118238307,2834.6579326939973
BHR,225090.13091075487,10375.674230468228
BGD,28707317.5384414,2448171.321008496
BRB,71991.05504577387,2294.408669239989
BLR,3057165.4396816287,87948.12391443654
BEL,2716255.2466188823,165332.29286818605
BLZ,63053.946562640536,3428.6217079940584
BEN,1671253.8169923103,93480.33776794547
BMU,14531.035702019006,643.2894231727183
BTN,144848.21851635646,12408.811546977991
BOL,2001764.0906479056,102914.05995144529
BIH,997517.5449406416,45052.56452786265
BWA,329736.58984089736,25788.506271481758
BRA,43033064.68607839,2146048.225019168
BRN,74350.8336079053,3178.4430668550153
BGR,2559295.9337957357,107493.3970889656
BFA,3660766.224245543,156329.8741495409
BDI,1654037.1763635983,90035.58017691872
KHM,2984492.0941289496,180846.0574488544
CMR,3985741.519066162,236615.00955885852
CAN,8022669.940441823,407926.3458180164
CPV,86245.8378632378,3425.523862919728
CAF,1001651.9456540577,61440.16392940121
TCD,2270786.8138545086,124640.43093418884
CHL,3591611.888524576,160641.7381611637
CHN,307002366.2318381,23134239.70822763
COL,7596540.395551507,423543.1279451533
COM,119795.41775776225,6217.268675179636
COG,854055.268185009,50646.472517989394
CRI,766738.0811047195,39985.716629281764
CIV,3909502.7460453836,198516.9311500017
HRV,1239022.072136959,56710.04834997901
CUB,2656109.1306241592,135656.8994693213
CYP,248859.86564947962,12992.274680194314
CZE,2820639.0358301727,137707.75628949568
COD,13536929.24794791,777673.0114650776
DNK,1420726.81302306,95230.32130094516
DJI,168475.9413344199,7639.001899307372
DMA,17792.35538955847,717.7298908200314
DOM,1906109.059243797,73025.96457150407
ECU,2721347.9565378963,105163.69777946793
EGY,19790063.780424505,1102163.2083717466
SLV,1122674.0579191004,45446.77108138723
GNQ,166065.37386302743,8409.170300074189
ERI,959231.0579276136,50484.53491785116
EST,378411.9276540626,11258.603592915257
ETH,12376226.141924538,588164.8557032521
FJI,246908.6048682877,16310.716906129042
FIN,1384091.2904362888,58543.95753133286
FRA,14228799.9697133,535571.5163482106
GAB,293591.71948791377,14170.32455323985
GMB,346951.9970242089,17633.587660020934
GEO,1204982.4302552163,50456.02338568329
DEU,22727099.529919103,1247634.2016824451
