Country_Region,Country_Code,Non-communicable diseases (NCDs) (DALYs lost),"Communicable, maternal, neonatal, and nutritional diseases (DALYs lost)",Injuries (DALYs lost)
Afghanistan,AFG,6948558.253548018,7309284.662676442,2049387.0633351814
Albania,ALB,627627.01437772,55467.812233731725,86445.44323466043
Algeria,DZA,7036442.020200626,1284614.5416558795,966962.6804022728
American Samoa,ASM,12234.517101604073,1896.409993273383,1472.9778751932618
Andean Latin America,,9331641.911279192,3177245.8178895274,1783084.4718478813
Andorra,AND,16829.225344435497,839.9681982082639,1735.0275891989465
Angola,AGO,4181835.4363873205,7808363.652578209,1124598.2938941554
Antigua and Barbuda,ATG,17785.314121914984,3145.763407232277,1909.3449112581595
Argentina,ARG,8999387.711052086,1472000.4328257542,1385591.2634039852
Armenia,ARM,769013.0595491158,63852.061248063896,78528.82209358973
Australasia,,5830793.928102533,287626.48118003004,912324.549876824
Australia,AUS,4880078.398158864,240764.00591198824,747198.1023126347
Austria,AUT,2089179.1801082087,93440.59822279014,213666.80317743245
Azerbaijan,AZE,2366332.6337284115,594555.8173293561,265477.1602447666
Bahamas,BHS,80131.33118238307,15216.99818095019,14766.966081566434
Bahrain,BHR,225090.13091075487,22851.676252091107,24720.08258450051
Bangladesh,BGD,28707317.5384414,13430342.619007668,3819146.8158912933
Barbados,BRB,71991.05504577387,9237.79098770387,6289.523499787587
Belarus,BLR,3057165.4396816287,174164.79166079898,470433.6076660558
Belgium,BEL,2716255.2466188823,149133.03144226002,328193.6843494347
Belize,BLZ,63053.946562640536,21673.306574488688,17605.721559192003
Benin,BEN,1671253.8169923103,3509833.021586751,436253.12831901276
Bermuda,BMU,14531.035702019006,1212.4113301994835,1065.4580061111762
Bhutan,BTN,144848.21851635646,65386.84612066519,21990.150431000548
Bolivia,BOL,2001764.0906479056,895260.2208005312,344327.4901101502
Bosnia and Herzegovina,BIH,997517.5449406416,50204.68095022396,117084.93280093116
Botswana,BWA,329736.58984089736,387889.09050854365,61532.378997227024
Brazil,BRA,43033064.68607839,8396187.80422536,9055125.687978858
Brunei,BRN,74350.8336079053,9629.192384182348,12672.734436356384
Bulgaria,BGR,2559295.9337957357,113206.4660200296,266467.4719095926
Burkina Faso,BFA,3660766.224245543,8419277.819614515,835504.380835519
Burundi,BDI,1654037.1763635983,3442572.6143770018,443363.6552390125
Cambodia,KHM,2984492.0941289496,1501783.1253615909,669845.8254119683
Cameroon,CMR,3985741.519066162,7635833.360433358,832665.4621860075
Canada,CAN,8022669.940441823,425552.4274781043,893125.0299134643
Cape Verde,CPV,86245.8378632378,38295.23722086143,16658.14548066539
Caribbean,,9860314.74982518,3420260.81123754,2033349.0139992856
Central African Republic,CAF,1001651.9456540577,2624592.9078694554,519771.0676067182
Central Asia,,19579856.89634468,5190876.580274943,3090873.8621759536
Central Europe,,33506319.53512598,1921972.194349981,4533060.080139402
"Central Europe, Eastern Europe, and Central Asia",,124239020.98320109,13464145.583059773,20111474.041526068
Central Latin America,,43037563.84876809,9543259.25716274,10621907.735633947
Central Sub-Saharan Africa,,20034128.99152524,39371950.87277964,5503842.469477995
Chad,TCD,2270786.8138545086,7962568.229904875,648368.6966061901
Chile,CHL,3591611.888524576,343140.50069411896,472972.3685794757
China,CHN,307002366.2318381,27262751.70196749,37220188.80282113
Colombia,COL,7596540.395551507,1579785.5458012975,1801481.0452813432
Comoros,COM,119795.41775776225,96288.72965019286,20158.032402686786
Congo,COG,854055.268185009,1173594.4865163309,192473.94576899172
Costa Rica,CRI,766738.0811047195,108756.80806881207,121878.66484034885
Cote d'Ivoire,CIV,3909502.7460453836,7772859.00294506,896778.3484348038
Croatia,HRV,1239022.072136959,51257.266992695324,150666.85950080276
Cuba,CUB,2656109.1306241592,243032.37956489524,271820.8881661056
Cyprus,CYP,248859.86564947962,13213.074296452893,28596.193734574423
Czech Republic,CZE,2820639.0358301727,138255.79103206954,443888.87548140367
Democratic Republic of Congo,COD,13536929.24794791,27191854.41811452,3571147.363688902
Denmark,DNK,1420726.81302306,71035.90709843407,119662.11181646533
Djibouti,DJI,168475.9413344199,173527.58957751736,32342.804105638414
Dominica,DMA,17792.35538955847,3407.9783652246424,2158.617751412075
Dominican Republic,DOM,1906109.059243797,749008.7860247792,453007.5722637675
East Asia,,324269556.3735743,29022543.621744398,39357225.04889192
Eastern Europe,,71152844.55173041,6351296.808434849,12487540.099210715
Eastern Sub-Saharan Africa,,54829229.85844386,103785286.5261549,12490169.702038078
Ecuador,ECU,2721347.9565378963,662159.1374974997,652282.5886136515
Egypt,EGY,19790063.780424505,4444063.405491168,2865213.8028346873
El Salvador,SLV,1122674.0579191004,251779.97202833238,346703.14551691245
England,,13287145.80479446,911737.470302105,1067984.4230464553
Equatorial Guinea,GNQ,166065.37386302743,302054.6613925703,35326.616834168075
Eritrea,ERI,959231.0579276136,1437261.3117468187,288067.12759542075
Estonia,EST,378411.9276540626,20875.2789524568,50203.81713015723
Ethiopia,ETH,12376226.141924538,22606154.317250594,2845541.867421271
Fiji,FJI,246908.6048682877,53460.45040269512,25931.22347568813
Finland,FIN,1384091.2904362888,61003.326166258026,160143.38531604758
France,FRA,14228799.9697133,704948.2387415625,1741677.220470877
Gabon,GAB,293591.71948791377,271490.74630855076,60525.1816850587
Gambia,GMB,346951.9970242089,434723.4181450034,53893.75512361529
Georgia,GEO,1204982.4302552163,94693.11916101039,135439.21353460642
Germany,DEU,22727099.529919103,1000277.4501902744,1955897.8719477563
Ghana,GHA,4746698.186323703,6398510.694263966,868950.2861088873
Greece,GRC,2802145.078867064,127732.05368651006,235130.68236945337
Greenland,GRL,14020.957083494492,1345.6096993512742,3214.770951327432
Grenada,GRD,28251.712422413297,4146.873938811061,2717.314772300393
Guam,GUM,40967.754269876605,6100.2293048177535,5376.474973669615
Guatemala,GTM,2690964.539565198,1360521.663594181,826515.4248826283
Guinea,GIN,2046641.6913193385,4397248.100119152,424585.9921600697
Guinea-Bissau,GNB,340890.55191040144,609545.4349836791,72927.2455020771
Guyana,GUY,165802.15535717257,57285.215639895236,35328.75613736968
Haiti,HTI,2494089.1967595243,1892882.7940364862,773884.2944748227
High SDI,,271380523.69500566,16138898.67214634,31060658.776724704
High-income,,255588922.6226624,16202692.723081632,28825893.975896485
High-income Asia Pacific,,39610052.55928053,3055176.284680749,5389766.889156367
High-middle SDI,,316859033.4047283,32983977.314467367,44003239.67196298
Honduras,HND,1441970.8960314118,446302.49343230727,399377.43225151295
Hungary,HUN,3095702.898335294,125478.82894234132,383270.8385662278
Iceland,ISL,64884.1078437987,3437.131565682853,7098.548177532941
India,IND,269176255.1569128,161898355.85198876,49657334.60046742
Indonesia,IDN,52215597.56038366,17595434.72383996,4836630.985084396
Iran,IRN,15509595.412241353,2148887.355998517,2718477.771766259
Iraq,IRQ,6033373.975303269,2201492.0296828323,3501066.9906146512
Ireland,IRL,967651.7927720315,51000.809803154276,90900.186985781
Israel,ISR,1447735.220744268,120937.23277415348,158779.92956944366
Italy,ITA,14724096.238859044,582988.5932515162,1185954.9993350056
Jamaica,JAM,575478.2606130589,113576.75696317568,90952.6722760496
Japan,JPN,29209306.66338881,2202327.6312410603,3717384.2711888137
Jordan,JOR,1482733.8456991825,383281.17167660646,197601.5819776853
Kazakhstan,KAZ,4125654.982010352,635053.3176528383,848189.7675439665
Kenya,KEN,6417839.145750574,10113271.470833505,1325844.2800223846
Kiribati,KIR,32618.436657752838,16724.837744321958,4317.055524267606
Kuwait,KWT,573971.2901704832,69948.85486778784,75090.49780855131
Kyrgyzstan,KGZ,1130033.605063603,367279.2428337579,197893.69114361628
Laos,LAO,1368365.3304215702,944594.5360648264,255191.33587852388
Latin America and Caribbean,,106395900.9307278,24808744.368591905,23704404.200745367
Latvia,LVA,665721.4996016808,37538.0312418629,93338.9149977342
Lebanon,LBN,1438774.7749182992,169567.8859908617,189377.52147090333
Lesotho,LSO,414345.163470781,742375.6255729734,154017.5472673621
Liberia,LBR,690030.9972077373,1350262.5635612716,121808.9490267776
Libya,LBY,1378918.3675635906,170654.88909523483,359174.06307210505
Lithuania,LTU,954385.5602863512,56625.841185057216,160781.27762241967
Low SDI,,217262536.51181337,288085360.98901784,47898077.46753278
Low-middle SDI,,320806653.4308613,257626321.46882987,62636092.26708673
Luxembourg,LUX,129285.49855930939,6754.89736693034,13481.901216113458
Macedonia,MKD,566524.6578067057,39059.13930178124,64897.68690110098
Madagascar,MDG,4230849.3325918,7739477.04043885,701355.0296635478
Malawi,MWI,2556867.906792868,5278386.7399729835,440213.3284570329
Malaysia,MYS,5158863.304688488,1206492.1140919195,759437.1390907678
Maldives,MDV,55494.76272756903,9036.838217143255,5792.050077424761
Mali,MLI,3386045.9530631,9702821.673468128,905554.632042152
Malta,MLT,107534.20849286873,5679.059334889204,8986.108297161525
Marshall Islands,MHL,14671.781540110233,3923.599624453205,2693.5505937156845
Mauritania,MRT,546926.127240633,585680.2018605883,99283.97938459307
Mauritius,MUS,333713.2634489591,40968.33487024974,27883.260274329703
Mexico,MEX,22759447.63630053,4094381.140885705,5116952.1552332165
Micronesia (country),FSM,25114.179076338372,7101.344397972165,3952.112238769346
Middle SDI,,418397100.72534466,100302897.1645586,65993411.11233349
Moldova,MDA,1162879.9361477823,118917.36112038537,165679.61146662233
Mongolia,MNG,716574.4702640901,205182.44448469073,166001.63637382883
Montenegro,MNE,171564.00779996585,8338.347286746963,21561.38605948745
Morocco,MAR,7846073.947215497,1526409.2060732509,972903.5069833528
Mozambique,MOZ,4618673.477945821,11272139.636827093,1057113.5527122486
Myanmar,MMR,11875379.753387876,4832596.654813217,2070584.308472088
Namibia,NAM,347199.2541284455,491915.73875090404,88926.85549377608
Nepal,NPL,5289340.212828798,2828010.7096692743,897969.4393393664
Netherlands,NLD,4062739.4507032763,198381.43032361535,330269.87334496714
New Zealand,NZL,950715.5299436696,46862.475268041795,165126.4475641891
Nicaragua,NIC,883760.9946437431,264789.55711299565,140053.39689618305
Niger,NER,2830537.82952668,9550538.663807783,734565.7699735523
Nigeria,NGA,28148570.85905314,83757170.19619425,5766465.2865469875
North Africa and Middle East,,110108434.7878802,33052263.96302799,24677482.85670473
North America,,93259689.96057215,5693606.899567153,10972273.52624899
North Korea,PRK,6818853.928787867,912708.1678557008,920986.6981715388
Northern Ireland,,433817.12140732055,29116.928453663564,39618.53496750976
Northern Mariana Islands,MNP,9944.122726231406,1039.9052977542349,1195.4292387930475
Norway,NOR,1133373.5992555714,62994.22864870818,125699.83326983007
Oceania,,3461873.0009511537,1891763.9001993581,771927.9211195967
Oman,OMN,626624.93375916,110905.88289099619,152920.70204604627
Pakistan,PAK,40091438.043780304,36564237.16754037,7666577.674176456
Palestine,PSE,681644.6131921101,179806.43591153505,121846.02489355102
Panama,PAN,599962.8376875418,175867.73825702048,104822.20022499604
Papua New Guinea,PNG,2633566.7667504195,1586096.1116014319,634388.0565196583
Paraguay,PRY,1133315.7347769816,271790.6780767351,210937.2912853827
Peru,PER,4608529.86409339,1619826.4595914963,786474.3931240793
Philippines,PHL,21108726.076053184,8456387.486000955,2978686.2813373194
Poland,POL,10358435.513483543,605609.3407895801,1606441.6836900634
Portugal,PRT,2726309.363079051,196280.85490920782,227278.58462152802
Puerto Rico,PRI,841017.0290283216,83009.52891812024,202757.90379895922
Qatar,QAT,343943.7207968853,32079.587905524902,72104.09205424659
Romania,ROU,6291885.100809547,485586.4488925654,781534.5761696558
Russia,RUS,47626092.82811631,4649422.026444169,8954368.209289322
Rwanda,RWA,1736393.3783525822,2240274.7166437,458135.5745356103
Saint Lucia,LCA,38676.426651294816,5894.755986602031,5617.950578564729
Saint Vincent and the Grenadines,VCT,28500.885953439487,5319.025194133089,3946.9867920138
Samoa,WSM,35656.95752933215,9631.314021529346,4764.941611281301
Sao Tome and Principe,STP,34123.13647547262,19319.61417210412,4806.986356462461
Saudi Arabia,SAU,4945276.392570791,643436.1739574103,1351109.6700044791
Scotland,,1513222.8221884381,83365.13150151384,124728.92915671284
Senegal,SEN,2197079.438072279,2759394.450486555,382209.3966559381
Serbia,SRB,2832369.035350755,144898.32191832038,303602.20375354745
Seychelles,SYC,22593.807905047066,3968.820577322661,2883.605426293137
Sierra Leone,SLE,1357739.1113756795,3184564.100940925,278263.7288595285
Singapore,SGP,769735.6173882934,86381.77606365856,102086.76252203727
Slovakia,SVK,1439701.4287774232,81844.11932930103,213127.4359709451
Slovenia,SVN,506035.2916815132,22765.63066059442,94070.68610098297
Solomon Islands,SLB,126838.49112484927,68442.58510588662,30157.363754711587
Somalia,SOM,2574165.8800593256,6137406.946156794,1133244.0602093935
South Africa,ZAF,9432854.909115728,11955896.719539596,2633955.0061534788
South Asia,,343409199.17047966,214786333.1943268,62063018.68030554
South Korea,KOR,9556659.444895526,756837.6849918481,1557623.1210091573
South Sudan,SSD,1470291.6359582432,4891601.452144736,703028.9622969953
Southeast Asia,,132120060.03332104,41687371.03346944,17668460.023332413
"Southeast Asia, East Asia, and Oceania",,459851489.40784657,72601678.55541319,57797612.99334393
Southern Latin America,,13402808.808502305,1896154.2005232389,1984706.3275678584
Southern Sub-Saharan Africa,,13054468.233337142,17903353.348204613,3639623.456680485
Spain,ESP,10268132.81399523,535920.0390859063,897299.8019350461
Sri Lanka,LKA,3983503.5234843064,543726.1221536973,642176.7419275448
Sub-Saharan Africa,,151303177.0559849,321074435.95250696,35225729.62906332
Sudan,SDN,7347277.580474459,5381339.006128268,1572827.5749440696
Suriname,SUR,128251.7920639559,35101.50501049572,22849.218041793174
Swaziland,SWZ,197352.08021146685,311936.87065748713,67328.59754293082
Sweden,SWE,2270817.871934737,107798.98256878619,237004.258091984
Switzerland,CHE,1784208.404796509,93478.03726603312,190030.62481653536
Syria,SYR,3120844.326582052,447945.27804493456,2884714.1145613077
Taiwan,TWN,5224536.893271863,379546.9738097091,582026.8917671429
Tajikistan,TJK,1559778.4071861156,1065711.619572587,283381.12398842647
Tanzania,TZA,8362605.737484572,12852410.036467155,1474168.9066057026
Thailand,THA,14180054.2374841,2869203.255178001,2482475.752399715
Timor,TLS,217813.7255758548,136752.3357854835,33675.83122155688
Togo,TGO,1128192.915111514,1923823.60031013,212415.97589737995
Tonga,TON,21457.72553914285,5200.542589227226,2611.1045035084426
Trinidad and Tobago,TTO,345476.4105779655,51383.494509576936,49839.691180512884
Tropical Latin America,,44166380.42085536,8667978.482302096,9266062.979264244
Tunisia,TUN,2197533.780401164,236180.8557834804,303809.558864081
Turkey,TUR,15587078.670348736,1688476.2060601842,1630464.284228981
Turkmenistan,TKM,1133699.949301865,280418.9168583193,142768.43576343948
Uganda,UGA,5077099.629508777,10487692.472868906,1064106.9913483362
Ukraine,UKR,17308187.360242598,1293753.477830119,2592734.661038405
United Arab Emirates,ARE,1713297.247364303,151922.2323310439,370211.9905196481
United Kingdom,GBR,16057593.727018125,1077393.1516809445,1299422.1778226756
United States,USA,85221367.03476307,5266609.22526351,10075741.712514114
United States Virgin Islands,VIR,32685.270428392167,2730.9726337964617,3709.776466360303
Uruguay,URY,811216.3394192181,80929.3911515924,126054.90265400223
Uzbekistan,UZB,6573787.358985907,1884130.041134319,973194.0114897136
Vanuatu,VUT,71124.30009262353,27899.361924236342,12529.906788063932
Venezuela,VEN,5175504.409964342,1261074.3379820893,1764124.2705068076
Vietnam,VNM,18441621.73056138,3491575.2993922117,2879949.1096979845
Wales,,823407.9786279056,53173.621423661745,67090.29065199774
Western Europe,,103485577.36620484,5270128.857130459,9566822.683046443
Western Sub-Saharan Africa,,63385349.9726787,160013845.20536783,13592094.000866767
World,OWID_WRL,1550896144.958783,695990294.3400083,252405616.37758544
Yemen,YEM,5178494.857416234,4418251.336706068,2274454.6390902405
Zambia,ZMB,2472273.5901282853,4951697.950290857,495648.1605128084
Zimbabwe,ZWE,2332980.2365698223,4013339.303175109,633863.0712257104
